crash_date,borough,latitude,longitude,number_of_persons_injured,contributing_factor_vehicle_1
2023-11-01T00:00:00.000,BROOKLYN,40.62179,-73.970024,1,Unspecified
2021-09-11T00:00:00.000,BROOKLYN,40.667202,-73.8665,0,Unspecified
2021-12-14T00:00:00.000,BROOKLYN,40.683304,-73.917274,0,
2021-12-14T00:00:00.000,,40.709183,-73.956825,0,Passing Too Closely
2021-12-14T00:00:00.000,BRONX,40.86816,-73.83148,2,Unspecified
2021-12-14T00:00:00.000,BROOKLYN,40.67172,-73.8971,0,Driver Inexperience
2021-12-14T00:00:00.000,MANHATTAN,40.75144,-73.97397,0,Passing Too Closely
2021-12-13T00:00:00.000,,40.701275,-73.88887,0,Passing or Lane Usage Improper
2021-12-14T00:00:00.000,QUEENS,40.675884,-73.75577,0,Turning Improperly
2021-12-14T00:00:00.000,,40.59662,-74.00231,0,Unsafe Speed
2021-12-14T00:00:00.000,QUEENS,40.66684,-73.78941,2,Reaction to Uninvolved Vehicle
2021-12-14T00:00:00.000,BROOKLYN,40.68158,-73.97463,0,Passing Too Closely
2021-12-14T00:00:00.000,BROOKLYN,40.65068,-73.95881,4,Steering Failure
2021-12-11T00:00:00.000,BRONX,40.87262,-73.904686,1,Unspecified
2021-12-14T00:00:00.000,,40.783268,-73.82485,0,Following Too Closely
2021-12-11T00:00:00.000,MANHATTAN,40.748917,-73.993546,0,Following Too Closely
2021-12-14T00:00:00.000,,40.744644,-73.77041,1,Other Vehicular
2021-12-13T00:00:00.000,QUEENS,40.75373,-73.88505,0,Unspecified
2021-12-14T00:00:00.000,,40.804375,-73.93742,1,Unspecified
2021-12-13T00:00:00.000,STATEN ISLAND,40.63165,-74.08762,1,Unspecified
2021-12-14T00:00:00.000,BROOKLYN,40.623104,-73.95809,1,Unspecified
2021-12-14T00:00:00.000,BROOKLYN,40.66576,-73.9845,0,Passing Too Closely
2021-12-14T00:00:00.000,BROOKLYN,40.687534,-73.9775,1,Unspecified
2021-12-14T00:00:00.000,BROOKLYN,40.710957,-73.951126,1,Passing or Lane Usage Improper
2021-12-14T00:00:00.000,BRONX,40.81813,-73.910126,0,Driver Inattention/Distraction
2021-12-12T00:00:00.000,QUEENS,40.70447,-73.90148,0,Passing Too Closely
2021-12-14T00:00:00.000,,40.784615,-73.953964,1,Driver Inattention/Distraction
2022-09-22T00:00:00.000,QUEENS,40.698257,-73.82632,1,Passing or Lane Usage Improper
